GEOID_10,TAZ,nid,AM_P,AM_D,AM_Quartile,PM_P,PM_D,PM_Quartile,Nightlife_P,Nightlife_D,Nightlife_Q,MedIncome,p_White,p_NonWhite,p_Workers,p_Drive,p_NoDrive,p_WFH,pd_Workers,pd_Drive,pd_NoDrive,pd_WFH
6075010300,375,8d,4.3,4.1,2,12.3,16.2,3,11.4,14.7,4,118210,0.71,0.29,2705,940,1528,237,0.149,0.391,0.093,-0.153
6075010500,826,8b,50.2,43.9,4,48.3,34,4,19.1,12.9,4,108063,0.689,0.311,1367,370,863,134,0.063,-0.237,0.214,0.484
6075010600,354,8b,5,6.5,3,14.1,12,3,9.2,8.3,3,37000,0.461,0.539,1954,411,1452,91,-0.006,-0.099,0.022,0.022
6075010800,361,8d,7,4.8,3,13.8,19.3,4,12.5,13.4,4,100226,0.579,0.421,3149,1174,1705,270,0.025,0.204,-0.067,0
6075011200,760,8c,16.7,9,4,8.8,17,3,8.4,13.2,3,103750,0.631,0.369,2074,587,1379,108,0.076,0.153,0.062,-0.099
6075011300,346,8b,19.8,15.4,4,27.3,20.7,4,15.3,14.2,4,37159,0.247,0.753,1375,265,1026,84,0.06,0.293,0.067,-0.351
6075011700,934,8a,12,14,4,8.2,10.9,3,8.3,10,3,52371,0.426,0.574,1028,138,828,62,0.014,0.255,-0.043,0.575
6075011800,782,8b,14,7.3,3,11.6,11.9,3,7.8,7.1,3,23512,0.147,0.853,723,119,596,8,-0.019,0.063,0.003,-0.719
6075011901,332,8a,4.5,11.8,3,25.3,27.4,4,16.5,24.2,4,72038,0.643,0.357,1591,275,1166,150,0.042,-0.291,0.15,0.198
6075011902,333,8a,18.1,21.3,4,64,39.1,4,36.5,30.5,4,84735,0.606,0.394,2028,445,1514,69,0.032,-0.041,0.026,1.593
6075012100,713,8a,30.4,13,4,47.9,43.9,4,49.5,45,4,73521,0.623,0.377,2659,487,1953,219,0.057,0.467,-0.029,0.264
6075012202,308,8a,5.5,3.4,2,8.7,9.5,3,10.8,9.2,3,36719,0.509,0.491,1833,292,1508,33,0.023,0.177,0.072,-0.754
6075012204,308,8a,5.5,3.4,2,8.7,9.5,3,10.8,9.2,3,36719,0.509,0.491,1833,292,1508,33,0.023,0.177,0.072,-0.754
6075012301,703,8a,13.6,10.2,4,21.7,18.6,4,18.5,16.1,4,17342,0.497,0.503,841,192,634,15,0.163,0.324,0.108,1.286
6075012302,712,8a,19,7.7,4,37.5,32.8,4,44.1,36.7,4,40976,0.551,0.449,1521,253,1150,118,0.027,-0.038,0.1,-0.316
6075012404,296,8j,22.9,25.1,4,33,45.3,4,19,25.9,4,12479,0.307,0.693,1221,173,1014,34,-0.172,0.713,-0.211,-0.607
6075012502,296,8j,22.9,25.1,4,33,45.3,4,19,25.9,4,12479,0.307,0.693,1221,173,1014,34,-0.172,0.713,-0.211,-0.607
6075012504,296,8f,22.9,25.1,4,33,45.3,4,19,25.9,4,12479,0.307,0.693,1221,173,1014,34,-0.172,0.713,-0.211,-0.607
6075012601,824,7a,8.5,4.3,3,14.6,13.4,3,16.1,12.1,4,129139,0.904,0.096,1941,860,841,240,0.044,-0.053,0.048,0.942
6075012602,824,7a,8.5,4.3,3,14.6,13.4,3,16.1,12.1,4,129139,0.904,0.096,1941,860,841,240,0.044,-0.053,0.048,0.942
6075012700,377,7d,10.7,6.6,3,22.1,17.7,4,17.3,14.2,4,129300,0.897,0.103,2277,1202,929,146,0.011,-0.041,0.03,0.485
6075012901,378,7d,11.5,10.1,3,23.3,32.7,4,24.7,32.5,4,143403,0.839,0.161,2080,955,1044,81,0.008,0.094,-0.039,-0.219
6075012902,363,7d,12.3,10.1,3,28.5,31.7,4,20.8,20.6,4,120190,0.852,0.148,2667,1289,1203,175,0.042,0.12,-0.04,0.128
6075013101,353,7b,19,19.1,4,29.3,36.8,4,27.3,30.6,4,130927,0.819,0.181,2985,1004,1519,462,0,-0.134,-0.038,0.867
6075013102,350,7b,14.2,14.7,4,15.9,19.1,4,12.8,17.3,4,150643,0.746,0.254,2123,837,1072,214,0.107,0.163,0.093,-0.009
6075013200,796,7d,5.7,3.3,2,4.8,5.3,2,2.7,3.1,2,142650,0.84,0.16,2321,1086,1055,180,-0.111,-0.218,0.161,-0.427
6075013300,337,7b,6.3,6.7,3,7.4,9.4,3,5.4,6.4,3,144875,0.832,0.168,2318,1185,754,379,0.064,0.127,0.027,-0.036
6075013500,325,7b,23.5,26.9,4,25.3,37.3,4,19.9,25.7,4,125804,0.691,0.309,1713,792,802,119,0.03,-0.082,0.134,0.277
6075015100,330,6f,37.5,39.3,4,45,56.7,4,36.7,39.8,4,97059,0.647,0.353,1540,393,1018,129,0.122,-0.198,0.338,0.066
6075015300,320,6f,29.4,23,4,27.8,32.6,4,22.8,24.7,4,120833,0.671,0.329,1494,663,746,85,0.007,-0.132,0.256,-0.323
6075015500,706,6f,7.5,8.6,3,11.5,10.3,3,11.7,7,3,65536,0.575,0.425,1940,543,1199,198,0.133,0.24,0.172,-0.21
6075015600,289,1g,6.5,4.2,3,9.1,7.2,3,7.4,7.1,3,88083,0.572,0.428,1745,816,762,167,0.033,0.079,-0.004,-0.012
